key,ar,en,es,fr,ru,zh
%search_count% results for '%term%',%search_count% نتائج '%term%',%search_count% results for '%term%',%search_count% resultados para '%term%',%search_count% résultat(s) pour '%term%',Всего результатов для %te: %s,搜索...术语结果计数
1. Choose vocabulary,,1. Choose vocabulary,,,,
"169,000 pages digitized in 2023",يتوزع موظفي المكتبة على أكثر من 26 جنسية,"169,000 pages digitized in 2023","1,320 personas asistieron a nuestras capacitaciones en 2019",1 320 personnes ont suivi nos formations en 2019,1320 человек участвовали в наших учебных программах в 2019,代表26多国家的图书馆员
1st Floor Reading rooms: 11am-3pm ET,غرف القراءة: مفتوحة  من الإثنين إلى الجمعة ، من 11 صباحًا حتى 3 مساءً (حسب التوقيت الشرقي القياسي),1st Floor Reading rooms: 11am-3pm ET,"Salas de lectura: de lunes a viernes, de 11 a.m. a 3 p.m. (EST)","Salles de lecture : du lundi au vendredi, de 11 h à 15 h (EST)",Читальные залы: понедельник-пятница с 11:00 до 15:00 (EST – Североамериканское Восточное Стандартное Время),阅览室：周一至周五: 上午11:00—下午3:00 (ET)
2. Choose language,,2. Choose language,,,,
2nd Floor Reading rooms: 10am-5pm ET,,2nd Floor Reading rooms: 10am-5pm ET,,,,
3. Enter search term,,3. Enter search term,,,,
404 Error: The page %requested_page% cannot be found.,خطأ 404: الصفحة المطلوبة %requested_page% غير موجودة.,404 Error: The page %requested_page% cannot be found.,,Erreur 404 : La page %requested_page% n'existe pas.,Ошибка 404: Запрашиваемая страница %requested_page% не найдена,
A-Z,أ-ي,A-Z,A-Z,A-Z,А-Я,全部，A到Z（按字母顺序排列的）索引
A-Z Site Index,دليل الموقع,A-Z Site Index,ÍNDICE DEL SITIO,INDEX DE A À Z,УКАЗАТЕЛЬ,网址索引
About,حول,About,Acerca de,À propos,О проекте,关于
About page,حول,About,Acerca de,À propos,О проекте,关于
Access Electronic Resources,الوصول إلى الموارد الإلكترونية,Access Electronic Resources,Acceso a recursos electrónicos,Accéder aux ressources électroniques,Доступ к электронным ресурсам,访问电子资源
Adding an empty twig file will remove this message.,,Adding an empty twig file will remove this message.,,,,
All %d results displayed,كافة%d النتائج معروضة,All %d results displayed,Todos los %d resultados visualizados,Tous les résultats sont affichés (%d),Все результаты показаны: %d,所有...%d的结果已显示。
Alpha-nav,هجائي,Alphabetical,Alfabéticamente,Liste,По алфавиту,按照字母顺序的
Alphabetical index,الكشاف الهجائي,Alphabetical index,Índice alfabético,Index alphabétique,Алфавитный индекс,字顺索引（按字母顺序排列）
Alternate terms,المصطلحات البديلة,Alternate terms,Términos alternativos,Termes synonymes,Альтернативные термины,交替术语
Any language,أي لغة,Any language,Cualquier lengua,Toutes les langues,Любой язык,
"Articles, Books & More",المقالات والكتب وغيرها,"Articles, Books & More","Artículos, libros y otros documentos","Articles, livres et plus","Статьи, книги и другие материалы",文章、书籍和更多
Ask DAG,اِسأل المكتبة,Ask DAG,Pregunta a DAG,Demandez à DAG,Спросите DAG,问达格
Available vocabularies and ontologies,,Available vocabularies and ontologies,,,Доступные словари и онтологии,
Borrow Books & More,استعارة الكتب وغيرها,Borrow Books & More,Préstamo de libros y otros materiales,Emprunter des livres et plus,Получение книг и других материалов,借书和更多
Breadcrumbs,,Breadcrumbs,,,,
By group,وفقا للمجموعة,By group,Por grupo,Par groupe,По группе,按组
By parent,وفقا للأصل,By parent,Por parentesco,Par parent,По родителю,根据隶属关系
By scheme,وفقا للمفردات الفرعية,By subvocabulary,,Par sous-vocabulaire,По субсловарю,
By type,وفقا للنوع,By type,Por tipo,Par type,По типу,按类型
Changes-and-deprecations-nav,,New and Deprecated,,,,
Changes-nav,جديد,New,,Nouveautés,Новые,
Choose alphabetical listing letter,,Choose alphabetical listing letter,,,Выберите букву для алфавитного порядка,
Clear limitations,حذف المحددات,Clear limitations,Limpie las delimitaciones,Enlever les critères,Очистить ограничения поиска,明确限定
Concept %term% in vocabulary %vocab%,,Concept %term% in vocabulary %vocab%,,,,
Concept information,,Concept information,,,Информация о концепции,
Concept language,اللغة,Language,Lengua,Langue,Язык,语言
Contact,اتصل بنا,Contact,COMUNÍQUESE CON NOSOTROS,CONTACTEZ-NOUS,НАШ АДРЕС,联系我们
Contact Us,اتصل بنا,Contact Us,Contacto,Contactez-nous,Обратная связь,联系我们
Contact us!,اتصل بنا,Contact us!,¡Contáctenos!,Contactez-nous !,Свяжитесь с нами!,联系我们！
Content and search language,لغة المحتوى والبحث,Content and search language,,Langue du contenu et de la recherche,Язык содержимого и поиска,
Content language,لغة المحتوى,Content language,Lengua del contenido,Langue des données,Язык содержимого,内容语言
Copy to clipboard,,Copy to clipboard,,,,
